_id,id,symbol,name,platforms
0,01coin,zoc,01coin,None
1,0chain,zcn,Zus,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78
2,0x,zrx,0x,0xe41d2489571d322189246dafa5ebde1f4699f498
3,0xcert,zxc,0xcert,0x83e2be8d114f9661221384b3a50d24b96a5653f5
4,0xdao,oxd,0xDAO,None
5,0xdao-v2,oxd v2,0xDAO V2,None
6,0xmonero,0xmr,0xMonero,0x035df12e0f3ac6671126525f1015e47d79dfeddf
7,0xpad,0xpad,0xPAD,None
8,0xtrade,0xt,0xTrade,None
9,0xwallet-token,0xw,0xWallet Token,None
10,11957-olga,realt-s-11957-olga-st-detroit-mi,"RealT - 11957 Olga St, Detroit, MI 48213",0xdd833d0eef6d5d7cec781b03c19f3b425f3039df
11,12405-santa-rosa,realt-s-12405-santa-rosa-dr-detroit-mi,"RealT - 12405 Santa Rosa Dr, Detroit, MI 48204",0x9d918ee39a356be8ef99734599c7e70160db4db6
12,12ships,tshp,12Ships,0x525794473f7ab5715c81d06d10f52d11cc052804
13,1337,1337,Elite,None
14,14066-santa-rosa,realt-s-14066-santa-rosa-dr-detroit-mi,"RealT - 14066 Santa Rosa Dr, Detroit, MI 48238",0xe887dc4fcb5240c0c080aeab8870421d3ebd0b28
15,1617-s-avers,realt-s-1617-s.avers-ave-chicago-il,"RealT - 1617 S Avers Ave, Chicago, IL 60623",0xf4657ab08681214bcb1893aa8e9c7613459250ec
16,1815-s-avers,realt-s-1815-s.avers-ave-chicago-il,"RealT - 1815 S Avers Ave, Chicago, IL 60623",0x8fcb39a25e639c8fbd28e8a018227d6570e02352
17,1art,1art,OneArt,None
18,1bch,1bch,1BCH,None
19,1box,1box,1BOX,None
20,1doge,1doge,1Doge,None
21,1eco,1eco,1eco,0x1af2eaeaf2b1d9dda800861268e6bbb3995a6c3b
22,1eth,1eth,1ETH,None
23,1hive-water,water,1Hive Water,None
24,1inch,1inch,1inch,0x111111111117dc0aa78b770fa6a738034120c302
25,1million-nfts,1mil,1MillionNFTs,0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016
26,1million-token,1mt,1Million,0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce
27,1move token,1mt,1Move Token,None
28,1peco,1peco,1peco,0x7169ba45cf03e0377b464462aacbccdf1f721125
29,1reward-token,1rt,1Reward Token,None
30,1safu,safu,1SAFU,None
31,1sol,1sol,1Sol,0x009178997aff09a67d4caccfeb897fb79d036214
32,1sol-io-wormhole,1sol,1sol.io (Wormhole),None
33,1tronic,1trc,1TRONIC,None
34,1-up,1-up,1-UP,0xc86817249634ac209bc73fca1712bbd75e37407d
35,1world,1wo,1World,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23
36,1x-long-btc-implied-volatility-token,bvol,Bitcoin Volatility Token,0x81824663353a9d29b01b2de9dd9a2bb271d298cd
37,2044-nuclear-apocalypse,2044,2044 Nuclear Apocalypse,None
38,20weth-80bal,20weth-80bal,20WETH-80BAL,None
39,28vck,vck,28VCK,0xfa5b75a9e13df9775cf5b996a049d9cc07c15731
40,2acoin,arms,2ACoin,None
41,2crazynft,2crz,2crazyNFT,0x2c9c19ce3b15ae77c6d80aec3c1194cfd6f7f3fa
42,2gather,two,2gather,None
43,2g-carbon-coin,2gcc,2G Carbon Coin,None
44,2key,2key,2key.network,0xe48972fcd82a274411c01834e2f031d4377fa2c0
45,2local-2,2lc,2local,None
46,2omb-finance,2omb,2omb,None
47,2share,2shares,2SHARE,None
48,300fit,fit,300FIT,0x3c72fca8523686fd9e5740b0826fa4bb376e0241
49,30mb-token,3omb,3OMB,None
50,37protocol,37c,37Protocol,None
51,3air,3air,3air,None
52,3gg,3gg,3gg,0xdae5add81b1fa1b04c0df225f0c3a029b93cb91b
53,3qt,3qt,3QT,None
54,3shares,3share,3Share,None
55,3xcalibur,xcal,3xcalibur Ecosystem Token,None
56,42-coin,42,42-coin,None
57,4852-4854-w-cortez,realt-s-4852-4854-w.cortez-st-chicago-il,"RealT - 4852-4854 W Cortez St, Chicago, IL 60651",0xe7b6de709ffc3bd237c2f2c800e1002f97a760f3
58,4artechnologies,4art,4ART Coin,0xff44b5719f0b77a9951636fc5e69d3a1fc9e7d73
59,4d-twin-maps,map,4D Twin Maps,None
60,4int,4int,4INT,None
61,4jnet,4jnet,4JNET,None
62,4mw,4mw,4 Meta World,None
63,4new,kwatt,4New,0x241ba672574a78a3a604cdd0a94429a73a84a324
64,4play,4play,4PLAY,None
65,50cent,50c,50Cent,None
66,5g-cash,vgc,5G-CASH,None
67,5km-run,run,5KM RUN,0x5f4c148d17effd165c2e2d46b46d2bd6e3ebdc3e
68,73c9fc57-af8f-4bd8-935f-de69a853598d,mbtc,메타비트코인,None
69,7pixels,7pxs,7Pixels,None
70,7up,7up,7up,None
71,888tron,888,888tron,None
72,88mph,mph,88mph,0x8888801af4d980682e47f1a9036e589479e835c5
73,8bit-doge,bitd,8Bit Doge,None
74,8pay,8pay,8Pay,0xfeea0bdd3d07eb6fe305938878c0cadbfa169042
75,8x8-protocol,exe,8X8 Protocol,0x412d397ddca07d753e3e0c61e367fb1b474b3e7d
76,99defi,99defi,99Defi,None
77,99starz,stz,99Starz,0x3f5294df68f871241c4b18fcf78ebd8ac18ab654
78,a4-finance,a4,A4 Finance,0x9767203e89dcd34851240b3919d4900d3e5069f1
79,aada-finance,aada,Aada Finance,None
80,aag-ventures,aag,AAG,0x5ba19d656b65f1684cfea4af428c23b9f3628f97
81,aave,aave,Aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
82,aave-aave,aaave,Aave AAVE,0xffc97d72e13e01096502cb8eb52dee56f74dad7b
83,aave-amm-bptbalweth,aammbptbalweth,Aave AMM BptBALWETH,0xd109b2a304587569c84308c55465cd9ff0317bfb
84,aave-amm-bptwbtcweth,aammbptwbtcweth,Aave AMM BptWBTCWETH,0x358bd0d980e031e23eba9aa793926857703783bd
85,aave-amm-dai,aammdai,Aave AMM DAI,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4
86,aave-amm-uniaaveweth,aammuniaaveweth,Aave AMM UniAAVEWETH,0xe59d2ff6995a926a574390824a657eed36801e55
87,aave-amm-unibatweth,aammunibatweth,Aave AMM UniBATWETH,0xa1b0edf4460cc4d8bfaa18ed871bff15e5b57eb4
88,aave-amm-unicrvweth,aammunicrvweth,Aave AMM UniCRVWETH,0x0ea20e7ffb006d4cfe84df2f72d8c7bd89247db0
89,aave-amm-unidaiusdc,aammunidaiusdc,Aave AMM UniDAIUSDC,0xe340b25fe32b1011616bb8ec495a4d503e322177
90,aave-amm-unidaiweth,aammunidaiweth,Aave AMM UniDAIWETH,0x9303eabc860a743aabcc3a1629014cabcc3f8d36
91,aave-amm-unilinkweth,aammunilinkweth,Aave AMM UniLINKWETH,0xb8db81b84d30e2387de0ff330420a4aaa6688134
92,aave-amm-unimkrweth,aammunimkrweth,Aave AMM UniMKRWETH,0x370adc71f67f581158dc56f539df5f399128ddf9
93,aave-amm-unirenweth,aammunirenweth,Aave AMM UniRENWETH,0xa9e201a4e269d6cd5e9f0fcbcb78520cf815878b
94,aave-amm-unisnxweth,aammunisnxweth,Aave AMM UniSNXWETH,0x38e491a71291cd43e8de63b7253e482622184894
95,aave-amm-uniuniweth,aammuniuniweth,Aave AMM UniUNIWETH,0x3d26dcd840fcc8e4b2193ace8a092e4a65832f9f
96,aave-amm-uniusdcweth,aammuniusdcweth,Aave AMM UniUSDCWETH,0x391e86e2c002c70dee155eaceb88f7a3c38f5976
97,aave-amm-uniwbtcusdc,aammuniwbtcusdc,Aave AMM UniWBTCUSDC,0x2365a4890ed8965e564b7e2d27c38ba67fec4c6f
98,aave-amm-uniwbtcweth,aammuniwbtcweth,Aave AMM UniWBTCWETH,0xc58f53a8adff2fb4eb16ed56635772075e2ee123
99,aave-amm-uniyfiweth,aammuniyfiweth,Aave AMM UniYFIWETH,0x5394794be8b6ed5572fcd6b27103f46b5f390e8f
100,aave-amm-usdc,aammusdc,Aave AMM USDC,0xd24946147829deaa935be2ad85a3291dbf109c80
101,aave-amm-usdt,aammusdt,Aave AMM USDT,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7
102,aave-amm-wbtc,aammwbtc,Aave AMM WBTC,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa
103,aave-amm-weth,aammweth,Aave AMM WETH,0xf9fb4ad91812b704ba883b11d2b576e890a6730a
104,aave-bal,abal,Aave BAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576
105,aave-balancer-pool-token,abpt,Aave Balancer Pool Token,0x41a08648c3766f9f9d85598ff102a08f4ef84f84
106,aave-bat,abat,Aave BAT,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1
107,aave-bat-v1,abat,Aave BAT v1,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00
108,aave-busd,abusd,Aave BUSD,0xa361718326c15715591c299427c62086f69923d9
109,aave-busd-v1,abusd,Aave BUSD v1,0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8
110,aave-crv,acrv,Aave CRV,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1
111,aave-dai,adai,Aave DAI,0x028171bca77440897b824ca71d1c56cac55b68a3
112,aave-dai-v1,adai,Aave DAI v1,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d
113,aave-enj,aenj,Aave ENJ,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef
114,aave-enj-v1,aenj,Aave ENJ v1,0x712db54daa836b53ef1ecbb9c6ba3b9efb073f40
115,aave-eth-v1,aeth,Aave ETH v1,0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04
116,aavegotchi,ghst,Aavegotchi,0x3f382dbd960e3a9bbceae22651e88158d2791550
117,aavegotchi-alpha,alpha,Aavegotchi ALPHA,None
118,aavegotchi-fomo,fomo,Aavegotchi FOMO,None
119,aavegotchi-fud,fud,Aavegotchi FUD,None
120,aavegotchi-kek,kek,Aavegotchi KEK,None
121,aave-gusd,agusd,Aave GUSD,0xd37ee7e4f452c6638c96536e68090de8cbcdb583
122,aave-interest-bearing-steth,asteth,Aave Interest Bearing STETH,0x1982b2f5814301d4e9a8b0201555376e62f82428
123,aave-knc,aknc,Aave KNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda
124,aave-knc-v1,aknc,Aave KNC v1,0x9d91be44c06d373a8a226e1f3b146956083803eb
125,aave-link,alink,Aave LINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0
126,aave-link-v1,alink,Aave LINK v1,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84
127,aave-mana,amana,Aave MANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e
